72187 81749 72303 81778
5000
1/1554(4 steps):RRRD
108/3675(18 steps):RURDLULDLURDDRURRD
109/4067(20 steps):ULDRUULLDDRURULLDRDR
110/4394(20 steps):LUURULDLURRDDLLDRURD
111/4625(18 steps):UURDLURRDLULDDRDRD
112/4835(18 steps):UUURDLDRULDDDLURRD
113/4791(20 steps):DLLURRDLLURRDDLUURDD
114/2173(20 steps):DDLDLURRRDLLULDRURRD
115/4856(20 steps):URULDLDRRURDLLUURDDR
116/428(21 steps):RRUURDDLURULDDRULURDD
117/852(21 steps):RRULDLDRRUULLDRDLURDR
118/1732(19 steps):URRDDLLLURDLUURRRDD
119/1493(21 steps):RDLLUURDDLURURDLURDRD
120/1398(21 steps):URDLDRRUULDLURDDLURDR
121/1117(21 steps):URDLUULDDRRULULDRURDD
122/1783(21 steps):DRURULLDDRRULURDLLDRR
123/1965(19 steps):DDRRRUULULDLURDRRDD
124/2209(21 steps):LLURDDDLDRRULLDRRULDR
125/2340(21 steps):RDDLUUURDDDRULDLURRDR
127/919(21 steps):ULDRDLLURRDLURULLDDRR
126/2682(19 steps):DDDLULUUURDLURRDDDD
128/2926(21 steps):RDLLULDRDRRULDLUURRDD
129/2902(21 steps):UULDDRURULLDRRULDLDRR
130/2855(21 steps):UULDRDLURDRULDLUURDRD
131/2869(21 steps):RULLURDDLURRDLUULDDRR
134/1681(19 steps):DRULURDLDRULURRRRDD
133/3564(19 steps):DDLURDDLUUURURRDDDD
132/3345(21 steps):URURRDLULLDRRDLULDRRR
135/3442(21 steps):RRRULURDDLLUURDLLDRRR
136/4594(19 steps):LLDDRRRUULLULDDRDRR
137/3806(21 steps):RDLULDDRUULDDRULURRDD
138/4917(21 steps):LULDRDLUURRDLLURRDLDR
139/4740(19 steps):URRDLLURDRULDDDLDRR
140/4837(21 steps):DRRRRULDLURURDDLLURDR
141/497(22 steps):ULLDRRRDLLUURDLDRRULDR
142/885(20 steps):LLDRRRULLULDDRRULDRR
143/1031(20 steps):RDRUULDDLURULLDRRRDR
144/1199(22 steps):DRRDLUULDLDRRUULDDRURD
145/942(20 steps):ULUURDLULDRDDLUURRDD
146/1882(20 steps):DDRUULLDLDRDRRUULDDR
147/1853(22 steps):LDRULLDRRDLLLURRRULDRD
148/1180(22 steps):LDDRULLLDRRUURDDLLURDR
149/1708(22 steps):RDLDDRULDLURDRUUULDDDR
150/1445(22 steps):LUULDRURDDLUULDDRUURDD
151/1980(20 steps):ULDRUUUULLDDDRDRULDR
152/2357(22 steps):DDDLULUURRDDDLDRUULDDR
153/1362(22 steps):RDLURULDLURRDDLUULDRRD
154/287(22 steps):LLUURRDLULDRDRUULLDRDR
155/2658(20 steps):UURDDRUULURULLDDDDRR
156/2867(20 steps):LUURDLDRULULLDLDRRRR
157/2759(22 steps):ULLDRRULLDRULURDLDRURD
158/3897(20 steps):LLLUURRRDDLLLUURRDRD
159/3924(20 steps):RRUULLURDRULDLURDDRD
160/4088(20 steps):UULDDRULURDDLUURRRDD
161/4822(22 steps):DRULURDDRULDRDLLUURRDD
162/4881(22 steps):DDDLURUULLDDRDLDRUURDD
163/4332(22 steps):LDRUURDLLULDDRRRUULDRD
164/890(23 steps):UURDDDRULDLURDRULULDDRR
165/460(21 steps):RDLULURRDDDLUUULDRDRD
166/1087(23 steps):DRUURDDLULURRDDLLUURDDR
167/846(21 steps):LURRRULURDDLURULDRDRD
168/1182(23 steps):LLDDRRURULLLDRRDRUULDRD
169/1018(23 steps):DLLULURDRDLLURURRDLLDRR
170/1147(23 steps):DLUULDRDLLURURDRDLUURDD
171/2144(23 steps):ULLURDRULDLDDRRUUULDRDD
172/2623(21 steps):DDDRRURURULDRDDLUURDD
173/1971(21 steps):RULDRRULDLURRRRDDLURD
174/2075(23 steps):ULDDRUULDDLURRULLDRURDD
175/3454(23 steps):DLUULDDRUULDRRDLLUURDDR
176/537(21 steps):RRRDDLURULDDLLUURRDDR
177/4590(19 steps):LURUURULLLDDDRURDRD
178/4697(21 steps):DDLLLUURURRDDRUULDDRD
179/4970(23 steps):LURDDDRUULDLDRURULLDRDR
180/3184(23 steps):DLLDRDLUURRDLUURDDLLDRR
181/258(24 steps):LLULDRULURDDRRULLDLURRDR
182/1974(22 steps):DLDRDRRUUULLDDLURRRRDD
183/1592(24 steps):RRRULUULLDRURRDDDRULURDD
184/2288(22 steps):DDRRUULLURDRDDLLUURRDD
185/2168(24 steps):URDDDRULLDRRULLDRRUULDRD
186/2042(20 steps):DDRRRRUULLULLDDDRRRR
187/2491(24 steps):DRUUULLLDDDRRRULURULDDDR
188/2954(22 steps):LDRRULLDDDRRUULLURRDDD
189/4231(23 steps):URULDRDLLURDRULURDLLDRR
190/3523(22 steps):URRDDDLURUULLLDDDRRURD
191/3586(24 steps):DLUULDDRUULDDRRURDLULDRR
192/1786(24 steps):LDRUURDDLLURDRULURDLLDRR
193/3773(20 steps):URRRDDLUULLUURRRDDDD
194/2120(24 steps):UURRULDLURRDLDRULURDDLDR
195/3986(24 steps):RUULDDRDLLURRDLLURRULDRD
196/3967(24 steps):DDLUURDLLURRULDDRUULDDDR
197/4247(24 steps):ULLUUURRDLDDLURDRDLLURDR
198/350(23 steps):LULLLDDRRURULLLDDRRURRD
199/4916(24 steps):LUULDRRULURDLLDRRULURDDD
200/645(25 steps):URDRRUULLDLDRRRUULLDLDRRR
201/756(23 steps):LURULDDRULLDDRULDDRRURD
202/4200(24 steps):LLULDRRURULLDLDRRUURDLDR
203/4816(22 steps):UUUULDRDDDLULUURURDDDD
204/500(25 steps):RRULDLURDDRUULDDRULDLURDR
205/1187(23 steps):RULULDDRUUULDRDLDRRULDR
206/1699(21 steps):LUUURDDDLUUURDDDRRURD
207/1069(25 steps):DRULURDLDRURULLDRRDLUURDD
208/1755(25 steps):RURDLULLDRDRRULULDDRULDRR
209/2606(25 steps):RDLLURDDLURRDLURULDLURDRD
210/2752(23 steps):RUURDDLDLUURDDLUUURRDDD
211/2712(23 steps):LUURDLURRDDRUULDDDRULDR
212/4665(24 steps):DRUULDDRULLLURRRDDLLURDR
213/3293(25 steps):LURDLDLUULDDRRUULDRULDDRR
214/3548(25 steps):RDRUULDDLURDRULLDRRUULDRD
215/2145(23 steps):RUULDRRULDRDLLUURDLDDRR
216/4232(23 steps):ULDRULUURRDLLURRDDDLURD
217/3473(23 steps):RUULDLDRULUURDDLUURRDDD
218/4012(25 steps):RDRULURDLLURRDDLLURDRULDR
219/4524(25 steps):RULDRURDLLURDDRUULDDLURDR
220/3923(25 steps):DLDRURDLURULDRDLLURRULDDR
221/606(24 steps):UURRUULDRDLULDRURULDRDDD
222/4997(25 steps):RDDLULLDRUULDDRRURDLLURDR
223/441(26 steps):LDLUULDRRRDRUULDRDLLLURRDR
224/1630(26 steps):LULLLDDRURURDRDLDRULURDLDR
225/1641(24 steps):LDRURDLDLUURRDDLURDDLURD
226/662(24 steps):ULURUULLDRURDDLLDDRULDRR
227/1906(21 steps):LDLLULDRUULURURRDDRDD
228/722(26 steps):LDDRRRULULDDLURRDLULDRURRD
229/3357(25 steps):ULULDRDRUULLDRDRRULLURRDD
230/3147(26 steps):RDLLDRRULLDRRRUULDLDRRULDR
231/2938(26 steps):LDRDLULURRDDLULURRDLLURRDD
232/2696(26 steps):RRRDRULLDDLLURDRRURULLDRDR
233/2047(26 steps):RDLLLULURDRRRDLLUURDLURDRD
234/3651(26 steps):ULUURDDDLULURURDDDLULURDRD
235/4166(24 steps):URRRDDLLUURRDDLLULURRRDD
236/3173(26 steps):LULURDRUULDRDDLULURURDDLDR
237/4845(26 steps):DRDLLUUUURRRDDDDLUURDLURDD
238/720(25 steps):LURRDDDLLUULLDDRRUUURRDDD
239/335(25 steps):URRDDLUURDLLURDLUUURRDDDD
240/686(23 steps):DLLULDRURUULLURRRDLDDRD
241/4218(26 steps):DDLURULDRDLURUULDDRUULDDDR
242/2527(26 steps):DRULDLURDRDDLLUURRULDLDDRR
243/485(25 steps):RRDLUURDLDRUULLLLDDRURRRD
244/1686(27 steps):DLULDRURDRDDLDRULDLURDRULDR
245/1978(25 steps):DDLLUURRDDLDRULLUURRDDLDR
246/1384(27 steps):DDLURURRRDLDRUULDRDLUURDLDR
247/2261(25 steps):RRRDDLLULURDDRRUULLLDRDRR
248/358(25 steps):UUURDDDLUURULDDRDRRUULDDR
249/2535(25 steps):RRRDDLLUULDRUURRDLLURDRDD
250/2106(25 steps):LDRULDLURRUULLDDDRRULLDRR
251/1731(25 steps):DDLURDDDRULLURURULDLDDRDR
252/4711(26 steps):DRDLLURDRUULLDDDRURDLLURDR
253/3383(25 steps):ULDRDRDRDLLLURRDLULURRDRD
254/1763(27 steps):LUUURRRDDDRULLDRRULULDDRURD
255/4378(25 steps):RDRDDLLURDRULURURDLDLDRDR
256/4543(27 steps):RULDRDDLLUURURDDDLLUURURDDD
257/4093(25 steps):DRRUULDRDLLLUULDRRRRDLURD
258/3870(25 steps):LLURURRDLLULURRDDLULDRRDR
259/3655(27 steps):ULDDRUUULDDDRULDLURRUULDRDD
260/4164(27 steps):LLDRRUULLLDRRRULLDDRUURDLDR
261/105(26 steps):RRDLURUULLDDDRURUULLDDDRRD
262/3112(27 steps):RULDRRULDRDRURDLLUURDDRULDR
263/4866(27 steps):ULDDRUULDDRURULDLDDRUULDDRR
264/1074(26 steps):URRRDDLLLUURRRDDLLLUURRRDD
265/1410(30 steps):LURDDLDLLUUULDRURRDRDDLURDLURD
266/2010(28 steps):RRUULLDDRRUUULDLDDRRUULURDDD
267/1998(28 steps):LLURRDLUULLDDRUULDDRRUURDLDR
268/1104(26 steps):LUUURULDRDDLLUURRULLDDDDRR
269/941(27 steps):LURDDLURULLLDRRDRUULDLURRDD
270/2488(28 steps):RRUUULULDDRURDDLURULDRDLLDRR
271/2351(28 steps):RDDLULDLUURDRRURDDLLULDRURDR
272/2676(26 steps):URULLDDRRUURDLULDLLDRURDRR
273/3530(26 steps):LDDRRUULLDDRRRULDLLUURRDRD
274/2521(26 steps):RDLDRULURULDRDLUURDDRULDRD
275/2619(28 steps):LULDLURDRRULLLDRRRUULLDDRURD
276/3889(28 steps):ULDDRDLLLURURRDLULDRDLUURDRD
277/3849(24 steps):LURDRDLLUULULDRDDLURRRRD
278/3931(26 steps):UUURDLLDDRDRUUULURDLDDLDRR
279/4493(28 steps):DLLLURULDDRUULDDRRRURDLUURDD
280/4555(28 steps):RDLULULLDDRRRUULDDRRULLURDDR
281/83(29 steps):DLDRRULLUURURDLDDLDRURDLLURRD
282/1761(26 steps):UURULDDDRUULDDRRULLUURDRDD
283/1813(29 steps):RRRULDRRULDLLDRRDDRULLURURDDD
284/1841(29 steps):DLULLLDRRRURDDLLURDLDRULURRDD
285/682(28 steps):DLLDLLUURDRRDLULLDRRRULURDDR
286/1806(29 steps):ULURDDLLDLURRURDLDRULDLURURDD
287/1349(27 steps):UURRDDLDRRURUULDRDLLUURRDDD
288/2943(27 steps):ULURDDDLLLUUURRDRULLLDDDRRR
289/3111(27 steps):DRDLLLULURRDRULDRDLULURDRRD
290/2074(27 steps):DRUULDDLLURRDLLURDLUURRDRDR
291/3296(27 steps):RRULDDDLUUURDRULLDRDLURDDDR
292/3336(29 steps):LDLURRUULULDRURDDDDLULDRRULDR
293/3723(29 steps):DRUURDDLLURDRRUURDDLUURDLLDRR
294/3965(27 steps):URRRDDLLULURDDRRUULLDDRRURD
295/4612(27 steps):DDRRURDLUULLDDRRRULULLDDRRR
296/3764(25 steps):URDLUURDDLUUULDLULDRRDRRD
297/25(32 steps):DRUUULLLLDDDRULUURRRRDDDLURDLURD
298/666(30 steps):URRULDRDLLURRDLLDDRRUUULDLDDRR
299/541(29 steps):LURDLULDRRRULLLDRRRULDLUURDRD
300/196(28 steps):LDDLUURUURDLLURDDRDLLUURDDRD
301/3223(29 steps):LUULDRRDLDLUUURRDLURDDLDRULDR
302/1544(28 steps):LDDRDLURDRRRUULLURRDLLURDRDD
303/2276(30 steps):DDLLLUURDLLURRDLLURRDDLURURRDD
304/1077(30 steps):DDRDRULDRRULDLLUUURRDDLDLURRRD
305/1725(28 steps):DRDLULURDRDRULDLURULDLURDRDR
306/2397(30 steps):ULDDLLUURDRRRULDRDLLURRDLUURDD
307/1458(28 steps):LDRDLURULDRRULULDDRRULLDDRRD
308/4921(28 steps):UUULDDRDLUURDLDRUULDRULURDDD
309/3472(28 steps):RDLLURRDLULLDRRRDDLLUUURDRDD
310/3384(30 steps):RRDDLULURDLUURDRDDLUULDRUURDDD
311/3831(30 steps):DDLULUURRDDLLUURRDDDLLURDRULDR
312/3913(28 steps):URRRDDLLUULLDRDRULURDLLDRRRR
313/408(28 steps):RDLULDRURUUULLDRURDLLURDRDDD
314/3937(28 steps):RDLULDLDRULURDLDRUULDRRURDRD
315/3635(28 steps):ULUULDRRDLDLUUURDRDDLLUURDRD
316/143(31 steps):RURULULDRRULDDLDRDRULUURDDLLDRR
317/3088(30 steps):LDRULLLDDRDLURRRURDLULDRRULDRD
318/4334(29 steps):RRULLDRRULLDLURRDRRUULDLURRDD
319/433(29 steps):LLURRDLDRUUULDLDRURDDLUURDDRR
320/1058(27 steps):URULDRRURRDDDLLLLUURURRRDDD
321/4517(30 steps):LDLLURDDLURULDDRULDRUURRDLURDD
322/1240(31 steps):LDLUURDLURURULLLDDRDRRDLLUURDDR
323/116(31 steps):ULLDRRUULDDLURRDLLURDDRUUULDDRD
324/1095(31 steps):URURDDLULURRDDLLURDLDRRULDLURDR
325/1113(29 steps):RRULDRUULDRDLLLUURRDRRDLLURRD
326/1737(30 steps):RRUULULDLDRUULDDRUURDDRDLUURDD
327/1517(31 steps):RRDLLURRDDLULURRDRDLLUURDRDLURD
328/1116(31 steps):DRUURULDRDLLURRULDRDDLUURDDLURD
329/2605(27 steps):DDDLLLULUURRDDDLLUUURRRRDDD
330/3150(27 steps):DDDRRULUURDLLUURDDLDDRRURDR
331/2697(29 steps):URUUURRDLLDLDLDRRRURUULURDDDD
332/2157(33 steps):URDLLDRUULDDLURDRRURDLULDRURDLURD
333/1661(29 steps):URDDDLURULDLURDLDRRUUULLDDDRR
334/3616(31 steps):UURDDRRULLURDLDRULLDRRRULLURRDD
335/3815(31 steps):UULULDRRRDLDRUULDLLDRURRUULDDDR
336/2801(31 steps):RUULLDRUULDRRULDDRULDDRUULLDRRD
337/4185(33 steps):DLUURULDRDLLLURDDLURURURDDLDRULDR
338/4505(29 steps):RRRDLDLLLUURRRDDRUULLLLDDRRRR
339/4911(31 steps):DDLDRULURDRURULLDDDLURDRUULDRDR
340/4599(31 steps):RDDLDRRULLDRUUUULDRURDDDDLLURDR
341/136(32 steps):DLDRUULDLULULDDDRRRURDLLURRULDDR
342/198(30 steps):DRRUULDDLUUURDRULDDLUURDRDDLDR
343/1817(32 steps):LURDLLLULURDDLURURDRULDRRDLUURDD
344/1545(30 steps):RULURDDRRRULLULDDLUURDDLURDRRR
345/1898(32 steps):RRDLDLUUURRDDLDLUURUURDDDDLULDRR
346/2218(30 steps):LULURDLDRULLURDLDRULURDRRULDDR
347/2375(32 steps):RULURDLUURDDRDLLURULDDRRULULDDRR
348/1929(32 steps):ULDDDLUURULDRRULLDRDLURDDRULLDRR
349/3824(30 steps):ULLDDRRRULDLLUURRDRDLUULLDDRRR
350/4003(32 steps):LLUURDDRULDLULDRURDRULDLURUURDDD
351/4140(30 steps):LLDDRDRDLULDRRULLUURRULDRDDLDR
352/1201(32 steps):UURDRDDRULDLURULLDRDRURDLUULDDRR
353/2492(32 steps):RDLLURRRDDLLLLURDRULDRRURULLDRDR
354/4675(32 steps):RDRDRRUULLLLDDRRRRUULLDDLURURRDD
355/4842(30 steps):DDDRRRULURDLLDRRUULDLLUURRDRDD
356/3814(32 steps):RULDRRULDLURRDLDRDLURUULDDRDLURD
357/41(31 steps):DRRUUULLDRRDDLLUUURDRDDLLUURRDD
358/549(33 steps):UURDDLLLURULDDRULDLURRURRDLDLURRD
359/1124(31 steps):RDRRDLLULLURDLDRDDRURUUULDRDRDD
360/4480(32 steps):RRRDLULULURDLUULDDRRDDRRULDLURDR
361/2023(33 steps):LUURULDDLUURRDDDLDLUURRDDLLURURDD
362/1553(33 steps):DRULDRRUULDLULDLURDDRRULLDRUURDDR
363/4972(32 steps):RRULLDRRDDLLUURRULDLDDRRUULLDDRR
364/3151(33 steps):DDRULLURURDDLLDRUUURDDDLURULLDDRR
365/3311(31 steps):RDLDRRRULLDLURRDLLUUURURRDDDLDR
366/3817(31 steps):LLLDDDRRUUURDLUULDLDDDRRRUULDDR
367/2187(33 steps):UUULDRDLURRDLDRUULDLUURDDDRUULDRD
368/3962(33 steps):ULDRURULLDRRULURDLULDLDDRURDLURDR
369/2494(32 steps):RRDLUURDDLUULDDRUULDDDRURDLLURRD
370/3458(31 steps):LDLUULDRUURRDDLLDRRUUULLLDRDDRR
371/4662(31 steps):RRDDLLUURRDDDLULUURRDDLLUURRDDD
372/4952(33 steps):LURRDLURUUULLDDDRUUULDDDDRULURDRD
373/3907(33 steps):LURDRRRUULDDRUULLLDRRDRUULDRULDDR
374/763(32 steps):RDLUURDLDLLLUURRRRDDLLLLUURRRDRD
375/821(32 steps):UULLLURDLDDRRURDLUURDDLUULLDDRRR
376/879(32 steps):LULURDDDRURDLULLURDDLLURURURRDDD
377/1300(32 steps):LDRRULDRRRUULULLURRRDLULDRURDDDD
378/3739(31 steps):DLDLUURRRDLULDDLURDRUULLDRURRDD
379/2639(31 steps):DDRDLURULDDRUURULLDDRRULULDDRDR
380/1551(34 steps):URRDLUURUULDLURDDLUURDDDRULURDLDRD
381/991(32 steps):URDLLURDRULDLDRULDLLURULDRURRRDD
382/2331(34 steps):DDLDDRULUURRULDRRULDRDDDLULLDRURRD
383/2508(30 steps):RRULDRUULDDLLULUURRRULDRURDDDD
384/680(32 steps):DDLLLUURRRDDLLLUURRRDDLLLUURRRDD
385/3412(32 steps):ULDRRRUUUULLDDLDDRUURURULLDRDRDD
386/1390(34 steps):UUURDDLLDRULURURDDLULDDRRDLUURDLDR
387/4670(32 steps):LLLURRULLDDLUURRDDLLURURRDDRULDR
388/4444(34 steps):LLURDRDRDLDLURUUULLDRDDDRURDLLURRD
389/1216(35 steps):LLDDRRUULLDDRRRUULLLDDRRURDLURULDDR
390/22(33 steps):URDRRUULDLLDRDRUURDDLUURRULLDDRDR
391/217(35 steps):DLULDRULLDLURDRURRDLLURRDLURULLDDRR
392/790(33 steps):RUULLDDRRUULLLDDRUURRDDLLULURRRDD
393/2032(33 steps):ULLDDRRUULDRULLDDDDRRUULUULDDDRDR
394/3938(34 steps):RDLDRUULDDDRRRUULLDLUURDDLDRUURRDD
395/913(35 steps):DLDRURDDLDLUURRDLUURULDLDDDRULURRDD
396/4196(34 steps):DDRRRURULDLULDDLUURRRDDRULDLUURDRD
397/3047(33 steps):ULDRRUURULLULDRRDRRULURDDLUURDDDD
398/3249(35 steps):DRDLUURDDRRUULLDDLURULDDRRRUULURDDD
399/3167(33 steps):LURDDDRUULDRDLULDRULUURDDDRUULDDR
400/512(35 steps):RURULDDDLUUURDLDLDRRUURULDLDLDRURRD
401/3687(35 steps):LUURDDDRRUULDLLUURDRDRDLLURDLLURRDR
402/3271(33 steps):LDRULDDDDRURULDRDLLUURULDRDLDRURD
403/3533(33 steps):RRDLUURDLLLURULLDRRDLULDRUURRDDDR
404/3518(35 steps):LLDDRDRUULDRDLULURULDRRULDRDLULDRRD
405/4139(35 steps):LDDLUUURDRDDLLURDLDRULUURRDLURDLDRD
406/4484(35 steps):ULLDRDRUULLLDDRUULDDRURULDRRULLDRDR
407/134(36 steps):ULULDDRURDLDDRUULDRDLUUURDDLLURURDDD
408/273(36 steps):LDLURRDDRULLDLURULDDRRRURDLULDRRULDR
409/4230(35 steps):LURRDRDLLLURRULDRRULLDDRRRRULDLURRD
410/656(35 steps):DLUULDDRRULDLLUURRURDDLUURDLDLLDRRR
411/877(34 steps):ULDRDLUUURRRDLURDDDLLUUURDLLDDRRRD
412/1690(36 steps):ULURRULLDRRDLDDLUUURRDDDLUULDRRULDDR
413/2733(36 steps):RDLDRUULDDDRUURULLDDDRRDLLURRDLLURRD
414/2883(36 steps):DLLDRURDRURULLULLDDRRURDDRULDLULDRRR
415/3220(34 steps):DRRDLULDDLDRULURDDRRUULURULLDDDDRR
416/3274(36 steps):RRDLDRRULLLURDDRRUULDRRDLLLURRULDDRR
417/3546(34 steps):RRDDLLLUURRRDDLLLUURRRDDLLLUURRRDD
418/3349(34 steps):LDRRULUURULDLLURDRDLDDRURDLLURRDRR
419/2487(36 steps):DDLUURDLDRUUULLDRDRUULLDRRDLURULDDRD
420/978(36 steps):LDRUULDRDRDLLUURDRULURDDDDLURULLDRRD
421/4271(34 steps):RRULLULDDDDRRRUULURDDLULULDDDRRURD
422/4608(34 steps):DDRRUUULLDDDRRUUULLDDDRRUUULLDDDRR
423/4645(32 steps):URDRUUULLDDRRUULLDDDRRURDDLLURRD
424/1960(36 steps):DDDLUURULDLDRRDDLLUURULDDRDRUULLDRRD
425/4250(36 steps):ULDLULDRDLUURRDLULDDRURRULDRRULLDRDR
426/64(35 steps):LLDRRDLULDRDRUULDRUULLDRRULLURDDDRD
427/4569(33 steps):RRRULLDLLDDRRRUUULDDRDLLLUURRDRDR
428/872(37 steps):DDLLURURRRDDLULLURDDDRUUURDDLLURURDDD
429/323(35 steps):DRRRUULLDDRRDLULUURRDDLDRUUULLDDRRD
430/1371(35 steps):RDDLLLULURDLDRUURDDRUURDLLDLUURDDRR
431/4337(36 steps):DLLUURDRDDLLUURULDDRRDLUURDDLUULDDRR
432/257(35 steps):UURRDDDLLULUURDLDDRRRUUULLDDDLURDRR
433/1311(35 steps):DRDRRRULULDLULDRDDLUUURDDDRULURDDRR
434/2090(35 steps):RRDDDLLURUURULDLURDDRDDLUURUULDDDRD
435/2034(37 steps):RRRDDLLLURULDDRUULDDRRRUULLDDLURURRDD
436/2779(33 steps):DRULLLDLDRRDLURULLDRDLDRULURDRRDR
437/2800(37 steps):RRUUULDLDRRUULDLDDRRDLLURUURDDLUURDDD
438/2695(37 steps):DLULLUURRRULLDRURDLLLDDRDRRULLLDRURDR
439/2088(37 steps):LUULDRRULDDLURDDRUULDDRUUULDLDRURDLDR
440/2875(37 steps):DDDLUUURDLLUURDRDLLURDLDRDLURRDLULDRR
441/263(35 steps):LURDRRULDRDLULDRRULULLDLDLURRRURRDD
442/2807(37 steps):DRURDLLLURRRDLLULDRURURDDLLURDRUULDDR
443/4047(35 steps):DDRUULULURRDDLULDRUULDRURDDLDRDLURD
444/4085(35 steps):UULDRURRDDLLULURRRDDRULDLLULURRRDRD
445/3970(37 steps):ULDLDRDRRULUULDRDLLURDLDRURDRUULLDRRD
446/4295(35 steps):LULDRURRDRULDLLDRUURDDRUULLLLDRRRDR
447/3992(37 steps):UULLDDLURULDDRURRRDLLUUULDRRDRDLLURDR
