72187 81749 72303 81778
5000
1/1554(4 steps):RRRD
109/4022(19 steps):URDLLURDRULLDRUURDD
110/4594(19 steps):LLDDRRRUULLULDDRDRR
111/4590(19 steps):LURUURULLLDDDRURDRD
112/4647(19 steps):LURRURDDRULLDRUURDD
113/4574(19 steps):LDRRDLLURRDLULURRDD
114/4740(19 steps):URRDLLURDRULDDDLDRR
115/310(20 steps):LUURRRDLDRULLDRUURDD
116/445(20 steps):UULDDLUURDLURRDDLURD
117/885(20 steps):LLDRRRULLULDDRRULDRR
118/942(20 steps):ULUURDLULDRDDLUURRDD
119/1031(20 steps):RDRUULDDLURULLDRRRDR
120/1592(20 steps):RRRRULLUULLDRURRDRDD
121/1559(20 steps):ULDRDRULURDDLULURRDD
122/1882(20 steps):DDRUULLDLDRDRRUULDDR
123/2042(20 steps):DDRRRRUULLULLDDDRRRR
124/1980(20 steps):ULDRUUUULLDDDRDRULDR
125/2360(20 steps):DLLUUURDDDDRUULLDRRD
126/2173(20 steps):DDLDLURRRDLLULDRURRD
127/2658(20 steps):UURDDRUULURULLDDDDRR
128/2867(20 steps):LUURDLDRULULLDLDRRRR
129/3174(20 steps):LDRRULLDRRDDLUULDDRR
130/3575(20 steps):RULURRDDLLUURDRULDDR
131/3773(20 steps):URRRDDLUULLUURRRDDDD
132/3897(20 steps):LLLUURRRDDLLLUURRDRD
133/3924(20 steps):RRUULLURDRULDLURDDRD
134/4088(20 steps):LUURDDLURULDDRUURRDD
135/4067(20 steps):ULDRUULLDDRURULLDRDR
136/4822(20 steps):DRRULLURDDRDLLUURRDD
137/852(21 steps):RRULDLDRRUULLDDRULDRR
138/537(21 steps):RRRDDLURULDDLLUURRDDR
139/460(21 steps):RDLULURRDLULDRRDDLURD
140/428(21 steps):RRUURDDLURULDDRULURDD
141/4881(20 steps):DDDLLDRUURUULLDDRRDD
142/4791(20 steps):DLLURRDLLURRDDLUURDD
143/846(21 steps):LURRRULURDDLURULDRDRD
144/1699(21 steps):LUUURDDDLUUURDDDRRURD
145/1398(21 steps):URDLDRRUULDLURDDLURDR
146/1906(21 steps):LDLLULDRUULURURRDDRDD
147/1783(21 steps):DRURULLDDRRULURDLLDRR
148/1117(21 steps):URDLUULDDRRULULDRURDD
149/1971(21 steps):RULDRRULDLURRRRDDLURD
150/919(21 steps):ULDRDLLURRDLURULLDDRR
151/2209(21 steps):LLURDDDLDRRULLDRRULDR
152/2340(21 steps):RDDLUUURDDDRULDLURRDR
153/2623(21 steps):DDDRRURURULDRDDLUURDD
154/2902(21 steps):UULDDRURULLDDRURULDDR
155/4856(20 steps):URULDLDRRURDLLUURDDR
156/2855(21 steps):UULDRDLURDRULDLUURDRD
157/2869(21 steps):RULLURDDLURRDLUULDDRR
158/3345(21 steps):URURRDLULLDRRDLULDRRR
159/2926(21 steps):RDLLULDRDRRULDLUURRDD
160/3442(21 steps):RRRULURDDLLUURDLLDRRR
161/3806(21 steps):RDLULDDRUULDDRULURRDD
162/4697(21 steps):DDLLLUURURRDDRUULDDRD
163/4917(21 steps):LULDRDLUURRDLLURRDLDR
164/4837(21 steps):DRRRRULDLURURDDLLURDR
165/258(22 steps):LLULDRRRULLLURDDLURRDR
166/497(22 steps):ULLDRRRDLLUURDLDRRULDR
167/1199(22 steps):DRRDLUULDLDRRUULDDRURD
168/287(22 steps):LLUURRDLULDRDRUULLDRDR
169/1180(22 steps):LDDRULLLDRRUURDDLLURDR
170/1445(22 steps):LUULDRURDDLUULDDRUURDD
171/1708(22 steps):RDLDDRULDLURDRUUULDDDR
172/1974(22 steps):DLDRDRRUUULLDDLURRRRDD
173/1362(22 steps):RDLURULDLURRDDLUULDRRD
174/1853(22 steps):LDRULLDRRDLLLURRRULDRD
175/2288(22 steps):DDRRUULLURDRDDLLUURRDD
176/2357(22 steps):DDDLULUURRDDDLDRUULDDR
177/2759(22 steps):ULLDRRULLDRULURDLDRURD
178/2954(22 steps):LDRRULLDDDRRUULLURRDDD
179/3523(22 steps):URRDDDLURUULLLDDDRRURD
180/3586(22 steps):RDLLUULDDRUULDDRRULDRR
181/4247(22 steps):LULUUURRDLDDLURDDLURDR
182/4816(22 steps):UUUULDRDDDLULUURURDDDD
183/4332(22 steps):URDLLDRULULDDRRRUULDRD
184/350(23 steps):LULLLDDRRURULLLDDRRURRD
185/686(23 steps):DLLULDRURUULLURRRDLDDRD
186/756(23 steps):LURULDDDLDRRUUULLDRDRRD
187/1018(23 steps):DLLULURDRDLLURURRDLLDRR
188/1087(23 steps):DRUURDDLULURRDDLLUURDDR
189/890(23 steps):UURDDDRULDLURDRULULDDRR
190/1182(23 steps):LLDDRURULDDRURULLLDRRDR
191/1187(23 steps):RULULDDRULDRRULUULDRDDR
192/1147(23 steps):LDRULULDRDLLURURRDDLURD
193/2144(23 steps):DLLUUURDLDDRRUUULDLDDRR
194/2712(23 steps):LURULDRURDDRUULDDRDLURD
195/2752(23 steps):RUURDDLDLUURDDLUUURRDDD
196/2145(23 steps):RUULDRRULDRDLLUURDLDDRR
197/2075(23 steps):ULDDRULDLURURDLULDRURDD
198/3293(23 steps):LDLUULDDRRUURDLLURDLDRR
199/3473(23 steps):RUULDLDRULUURDDLUURRDDD
200/3454(23 steps):DLUULDDRUULDRRDLLUURDDR
201/4232(23 steps):ULDRULUURRDLLURRDDDLURD
202/3184(23 steps):DLLDRDLUURRDLUURDDLLDRR
203/4970(23 steps):DDRUULLURDDLDRURULLDRDR
204/4231(23 steps):URULDRDLLURDRULURDLLDRR
205/606(24 steps):UURRUULDRDLURULDLDRURDDD
206/1410(24 steps):LURDDLDLLUUULDRURRDRDLDR
207/662(24 steps):ULURUULLDRURDDLLDDRULDRR
208/1641(24 steps):LDRURDLDLUURRDDLURDDLURD
209/1630(24 steps):DLDRULUULLLDDRURURDRDLDR
210/2047(24 steps):RDLLLULURDRRRDLLURULDRRD
211/2491(24 steps):DRUUULLLDDDRRRULURULDDDR
212/2168(24 steps):URDDLDRRULLDRRUULDLDRURD
213/3849(24 steps):LURDRDLLUULULDRDDLURRRRD
214/3986(24 steps):RUULDDRDLLURRDLLURRULDRD
215/4166(24 steps):URRRDDLLUURRDDLLULURRRDD
216/3967(24 steps):DDLUURDLLURRULDDRUULDDDR
217/1786(24 steps):LDRUURDDLLURDRULURDLLDRR
218/2120(24 steps):UURRULDLURRDLDRULURDDLDR
219/4845(24 steps):DRDLLUUUURRRDDDDLURULDRD
220/4916(24 steps):LUULDRRULURDLLDRRULURDDD
221/335(25 steps):URRDDLUURDLLURDLUUURRDDDD
222/645(25 steps):URDRRUULLDLDRRRUULLDLDRRR
223/720(25 steps):LURRDDDLLUULLDDRRUUURRDDD
224/358(25 steps):UUURDDDLUURULDDRDRRUULDDR
225/500(25 steps):RURDDLULURRDDLLUURDRULDDR
226/4665(24 steps):DRUULDDRULLLURRRDDLLURDR
227/1069(25 steps):DRULURDLDRURULLDRRDLUURDD
228/4200(24 steps):LLULDRRURULLDLDRRUURDLDR
229/1978(25 steps):DDLLUURRDDLDRULLUURRDDLDR
230/1755(25 steps):RURDLULLDRDRRULULDDRULDRR
231/1731(25 steps):DDLURRULDDDLURULDDRDRULDR
232/2106(25 steps):LDRULDLURRUULLDDDRRULLDRR
233/2261(25 steps):RRRDDLLULURDDRRUULLLDRDRR
234/2535(25 steps):RRRDDLLUULDRUURRDLLURDRDD
235/485(25 steps):RRDLUURDLDRUULLLLDDRURRRD
236/3383(25 steps):ULDRDRDRDLLLURRDLULURRDRD
237/3548(25 steps):RURDDLLURURDDLUURDDLULDRR
238/3870(25 steps):LLURURRDLLULURRDDLULDRRDR
239/4378(25 steps):RDRURDLDDLLURDRULURDLDRDR
240/4164(25 steps):ULLDDRRULULLDRURDLDRRULDR
241/4093(25 steps):DRRUULDRDLLLUULDRRRDRULDR
242/3764(25 steps):URDLUURDDLUUULDLULDRRDRRD
243/105(26 steps):RRDLURUULLDDDRURUULLDDDRRD
244/3923(25 steps):DLDRURDLURULDRDLLURRULDDR
245/4524(25 steps):URDLURRDLLURDDRUULDDLURDR
246/4997(25 steps):RDDLULLDRRURDLLUULDDRURDR
247/4012(25 steps):URDDLUURRDLLURDRULDDRULDR
248/25(26 steps):DRUUULLLLDDDRULUURRRRDDLDR
249/1074(26 steps):URRRDDLLLUURRRDDLLLUURRRDD
250/441(26 steps):LDLUULDRRRDRUULDRDLLLURRDR
251/3357(25 steps):ULULDRDRUULLDRDRRULLURRDD
252/1104(26 steps):LUUURULDRDDLLUURRULLDDDDRR
253/2606(25 steps):RDLLURDDLURRDLURULDLURDRD
254/2010(26 steps):RRUULLDDRRUULLURDRULLDDDRR
255/2676(26 steps):URULLDDRRUURDLULDLLDRURDRR
256/2521(26 steps):RDLURULDDDRUULDRRULLURDDRD
257/2351(26 steps):RDDLURURDDLLULDLUURDDRURDR
258/2527(26 steps):RDLLURRDDDLLUUURDRULDLDDRR
259/3147(26 steps):RDLLDRRULLDRRRUULDLDRRULDR
260/2696(26 steps):RRRDRULLDDLLURDRRURULLDRDR
261/2938(26 steps):LDRDLULURRDDLULURRDLLURRDD
262/3530(26 steps):LDDRRUULLDDRRRULDLLUURRDRD
263/3651(26 steps):ULUURDDDLULURURDDDLULURDRD
264/3931(26 steps):UUURDLLDDRDRUUULURDLDDLDRR
265/3173(26 steps):ULLURDDRUUULDRDLLURURDDLDR
266/722(26 steps):LDDRRRULULDDLURRDLULDRURRD
267/1761(26 steps):UURULDDDRUULDDRRULLUURDRDD
268/4493(26 steps):RDLLLLURULDDRUULDDRRRUURDD
269/4218(26 steps):DDLURULDRDLURUULDDRUULDDDR
270/4555(26 steps):RDLLURULDDRRULULLLDDRRURDR
271/1058(27 steps):URULDRRURRDDDLLLLUURURRRDDD
272/1240(27 steps):LDLUURDRDLLUURURULLLDDRRDDR
273/1763(27 steps):LUUURRRDDDRULLDRRULULDDRURD
274/1813(27 steps):RRRULDLDRRDDRULLURURULDRDDD
275/1686(27 steps):DLULDRURDRDDLDRULDLURDRULDR
276/1384(27 steps):DDLURURRRDLDRUULDRDLUURDLDR
277/2605(27 steps):DDDLLLULUURRDDDLLUUURRRRDDD
278/2074(27 steps):DRUULDLDRULLDRULURRDLDRURDR
279/1349(27 steps):UURRDDLDRRURUULDRDLLUURRDDD
280/4711(26 steps):DRDLLURDRUULLDDDRURDLLURDR
281/3111(27 steps):DRDLLLULURRRDLURDDLULURDRRD
282/2943(27 steps):ULURDDDLLLUUURRDRULLLDDDRRR
283/3150(27 steps):DDDRRULUURDLLUURDDLDDRRURDR
284/3296(27 steps):RRULDDDLUUURDRULLDRDLURDDDR
285/3965(27 steps):URRRDDLLULURDDRRUULLDDRRURD
286/4543(27 steps):RULDRDDLLUURURDDDLLUURURDDD
287/4612(27 steps):DDRRURDLUULLDDRRRULULLDDRRR
288/3223(27 steps):LUULDRRDLDLUUURRDLURDDDLURD
289/3655(27 steps):ULDDRUUULDDDRUUULDDDLURURDD
290/4866(27 steps):ULDDRUULDDRULDDRUURULDLDDRR
291/196(28 steps):LDDLUURUURDLLURDDRDLLUURDDRD
292/941(27 steps):LURDDLURULLLDRRDRUULDLURRDD
293/3112(27 steps):RULDRRDRURDLLUULDRURDRDLURD
294/1458(28 steps):LDRDLURULDRRULULDDRRULLDDRRD
295/1544(28 steps):LDDRDLURDRRRUULLURRDLLURDRDD
296/1998(28 steps):LLURRDLUULLDDRUULDDRRUURDLDR
297/1725(28 steps):DLURDRDLURDRULDLURULDLURDRDR
298/408(28 steps):RUUULLDRURDLLURDRDDDLULDRURD
299/2488(28 steps):RRUUULULDDRURDDLURULDRDLLDRR
300/3472(28 steps):DLULDRRRULLDRRDDLLUURULDRRDD
301/682(28 steps):DLULLLDRRDLUURDLLURDRRULDRDR
302/3635(28 steps):ULUULDRRDLDLUUURDRDDLLUURDRD
303/3889(28 steps):ULDRDLURDDLLLURRURDLDLUURDRD
304/3913(28 steps):URRRDDLLUULLDRDRULURDLLDRRRR
305/2619(28 steps):LULDLURDRURDLULLDRRURULLDRRD
306/3937(28 steps):RDLULDLURDDLURULDRDLURRURDRD
307/4334(27 steps):RUURDLDRULLDRRUULDLDLURRDRR
308/4517(28 steps):LDLLURDDLURULDRDLURURRDLURDD
309/143(29 steps):RULDRDRULUUULDRDRUULDRDDLLDRR
310/1124(29 steps):RDRDLULLURDLDRDDRURUUULDRRDDD
311/433(29 steps):LLURRDLDRUUULDLDRURDDLUURDDRR
312/1113(29 steps):RRULDRUULDRDLLLUURRDRRDLLURRD
313/83(29 steps):DLDRRULLUURURDLDDLDRURDLLURRD
314/1841(29 steps):DLULLLDRRRURDDLLURDLDRULURRDD
315/1661(29 steps):URDDDLURULLDRULDDRRUUULLDDDRR
316/541(29 steps):ULDRULLDRRRULLLDRRRULDLUURDRD
317/2157(29 steps):LDRUURDRULLLDDLURDRRUURDLLDRR
318/2697(29 steps):URUUURRDLLDLDLDRRRURUULURDDDD
319/3336(29 steps):LDLURRDLULDRRUUULULDRURDDDLDR
320/1806(29 steps):ULURDDLLDLURRURDLDRULDLURURDD
321/3723(29 steps):DRUURDDLLURDRRUURDDLUURDLLDRR
322/4505(29 steps):RRRDLDLLLUURRRDDRUULLLLDDRRRR
323/136(30 steps):DLLURRDLULLULDDDRRURDRULURDLDR
324/666(30 steps):URDLURRULDRDLLURDLDDRRUULLDDRR
325/879(30 steps):LULULDRDRDRURDLULDLLUUURRRRDDD
326/198(30 steps):UURDDLUURDRDDLURULDRUULDRDLDDR
327/1545(30 steps):RRRRULLLLURDRULDDLUURDDLURDRRR
328/1077(30 steps):DDRRDLURDRULDLLUUURRDDLDLURRRD
329/1929(30 steps):ULDDDLUURULDRRULLDDRDRULULDDRR
330/1817(30 steps):LURDLLLULURRRDRDLULLDLURRURRDD
331/2276(30 steps):DDLLLULURRDLLURRDDLULURDRURRDD
332/2218(30 steps):LULURDRULDLDRULLURDLDRULURDRDR
333/2397(30 steps):ULDDLLUURDRRRULDRDLLURRDLUURDD
334/2508(30 steps):RURDLURULDDLLULUURRRULDRURDDDD
335/3088(30 steps):LDRULLLDDRDLURRRURDLULDRRULDRD
336/2375(30 steps):RUULDRRDLLURULURDLDDRRULULDDRR
337/3831(30 steps):DDLULUURRDDLLUURRDDDLLURRDLURD
338/3824(30 steps):ULLDDRRRULDLLUURRDRDLUULLDDRRR
339/4140(30 steps):LLDDRDRDLULDRRULLUURRULDRDDLDR
340/4921(28 steps):ULURDDLLLUUURRDDRUULLLDDDRRR
341/4842(30 steps):DDDRRRULURDLLDRRUULDLLUURRDRDD
342/41(31 steps):DRRUUULLDRRDDLLUUURDRDDLLUURRDD
343/116(31 steps):ULLDRRUULDDLURRDLLURDDRUUULDDRD
344/3384(30 steps):RRDDLULURDLUURDRDDLUULDRUURDDD
345/1095(31 steps):URURDDLULURRDDLLURDLDRRULDLURDR
346/1737(30 steps):RRUUULLDLDRRRDLULUULDDRUURRDDD
347/1517(31 steps):DRURDDLULURRDRDLLULURRDLDRRULDR
348/1116(31 steps):DRUURULDRDLLURRULDRDDLUURDDLURD
349/1553(31 steps):DRRUULLDRDLURULLDRDLULURDRURDDR
350/2801(31 steps):RUULLDRUULDRRULDDRULDDRUULLDRRD
351/4480(30 steps):RULURRRDDLDRUUULLDLUULDDRRDRRD
352/3311(31 steps):RDDRRULLDLURRDLLUUURURRDDDLLDRR
353/3817(31 steps):LLLDDDRRUUURDLUULDLDDDRRRUULDDR
354/3616(31 steps):UURRDDRULLDRUULDLURRRDLLULDDRRR
355/3962(31 steps):URULLDDRURUULDLDRURULLDLDDRURDR
356/3815(31 steps):ULLDRUUULDRDRURDLDRUULDRUULDDDR
357/3907(31 steps):LURDRURULDDRURULDRDLURULLLDRRDR
358/4662(31 steps):RRDDLLUURRDDDLULUURRDDLLUURRDDD
359/2639(31 steps):DRDRUULDLDRRULDDRUULDLUURDLDRRD
360/4185(31 steps):DLUURULDRDLLLURDDLURURURDDDLURD
361/3458(31 steps):LDLUULDRUURRDDLLDRRUUULLLDRDDRR
362/4911(31 steps):DDLDRULURDRURULLDDDLURDRUULDRDR
363/4599(31 steps):RDDLDRRULLDRUUUULDRURDDDDLLURDR
364/763(32 steps):RDLUURDLDLLLUURRRRDDLLLLUURRRDRD
365/680(32 steps):DDLLLUURRRDDLLLUURRRDDLLLUURRRDD
366/821(32 steps):UULLLURDLDDRRURDLUURDDLUULLDDRRR
367/3739(31 steps):DLDLUURRRDLULDDLURDRUULLDRURRDD
368/1300(32 steps):LDRRULDRRRUULULLURRRDLULDRURDDDD
369/1551(32 steps):URRDLUURUULDLURDDDRULLUURDRDLDRD
370/991(32 steps):LURRDDLLUURDDRULDLLLUURDLURRDRRD
371/3412(32 steps):ULDRRRUUUULLDDLDDRUURURULLDRDRDD
372/1898(32 steps):RRDLLURDDLUUURRDDLULDDRUUUURDDDD
373/1201(32 steps):UURDRDDRULDLURULLDRDRURDLUULDDRR
374/4003(32 steps):LLUURDDRULDLULDRURDRULDLURUURDDD
375/4645(32 steps):URDRUUULLDDRRUULLDDDRRURDDLLURRD
376/4670(32 steps):LLLLUURDRRULDDLLURULDRURRDDRULDR
377/4675(32 steps):RDRDRRUULLLLDDRRRRUULLDDLURURRDD
378/2492(32 steps):RDLLURRRDDLLLLURDRULDRRURULLDRDR
379/3814(32 steps):RULDRRULDLURRDLDRDLURUULDDDRULDR
380/22(33 steps):URDRRUULDLLDRDRUURDDLUURRULLDDRDR
381/4972(32 steps):RRULLDRRDDLLUURRULDLDDRRUULLDDRR
382/1216(33 steps):LLDDRRURULLLDDRRRUULLLDDRRRUULDDR
383/549(33 steps):UURDDLLLURULDDRUURDDLULDLURRRURDD
384/790(33 steps):RUULLDDRRUULLLDDRUURRDDLLULURRRDD
385/2032(33 steps):ULLDDRRUULDRULLDDDDRRUULUULDDDRDR
386/2779(33 steps):DRULLLDLDRRDLLDRUURULLDRDLURDRRDR
387/2023(33 steps):DLUUURULDDLUURRDDDDLLUURDRDLLURRD
388/3047(33 steps):ULDRRUURULLULDRRDRRULURDDLUURDDDD
389/3151(33 steps):LDRUURDDLDRULULDDRUURDLUURDLLDDRR
390/3167(33 steps):DDRUULLURDDRDLULDRRULLUURDDRULDDR
391/2187(33 steps):ULURRDLDRUULLDRUULDDRDRUULLURDDRD
392/3271(33 steps):LDRULDDDDRURULDRDLLUURULDRDLDRURD
393/656(33 steps):UULDDRUULLDRDDLLURULDDRUUURDRDLDR
394/2494(32 steps):RRDLUURDDLUULDDRUULDDDRURDLLURRD
395/4139(33 steps):LDLUURDRDLDLURRDLLDRULUURDRULDDRD
396/3533(33 steps):RRDLUURDLLLURULLDRRDLULDRUURRDDDR
397/4484(33 steps):DLUULLDRULDDRRRUULLLDDRURDRUULDDR
398/4952(33 steps):RUULDLDRRUUUULLDDRUULDDRDLDRRULDR
399/1607(34 steps):RDDDLUULDDRUULDRULURULURRDLLDRDDDR
400/877(34 steps):DLUUURRDRULDRDDLLULDRUUURDLLDRDRRD
401/2331(34 steps):DDLURRULDRRULDRDDDLLLURDRULDLURRRD
402/3546(34 steps):RRDDLLLUURRRDDLLLUURRRDDLLLUURRRDD
403/4569(33 steps):RRRULLDLLDDRRRUUULDDRDLLLUURRDRDR
404/1960(34 steps):DLLDDRRDLLUURURDLDDLUURURULDLDDRDR
405/4271(34 steps):RRULLULDDDDRRRUULURDDLULULDDDRRURD
406/4608(34 steps):DDRRUUULLDDDRRUUULLDDDRRUUULLDDDRR
407/3349(34 steps):RDLULDRUUURULDDLULURDDDDRRULLDRRRR
408/1390(34 steps):RDLULURUURDDLUURDDDLUURDLDRUULDDDR
409/64(35 steps):LLDRRDLULDRDRUULDRUULLDRRULLURDDDRD
410/872(35 steps):DRURDDLLURURDDLLDRULLLURRULDRRURDDD
411/323(35 steps):DRRRUULLDDRRDLULUURRDDLDRUUULLDDRRD
412/4444(34 steps):LLURDRDRDLDLURUUULLDRDDDRURDLLURRD
413/217(35 steps):LDRUULDLDRRULLDRUULDLDLURDRURDLURRD
414/4196(34 steps):RRDDLLURRRRDLURULLLLDDRRUURDDLURDR
415/1371(35 steps):RDDLLLULURDLDRUURDDRUURDLLDLUURDDRR
416/1311(35 steps):DRDDLURRRRULULDLULDRDDRULLUURDRDDRR
417/2090(35 steps):RRDDDLLURUURULDLURDDRDDLUURUULDDDRD
418/263(35 steps):LLDLURRURDDRRULURDDLUULLDRRDLUURDRD
419/2034(35 steps):RRRDDLLLUURDDRRUULLLDDRUULDDRUURRDD
420/257(35 steps):UURRDDDLLULUURDLDDRRRUUULLDDDLURDRR
421/2695(35 steps):DLULDRRULLLUURRRULLDRURDLLLDDDRURDR
422/913(35 steps):DLDRURDDLLURRDLDRULUURULDLDRRDDLURD
423/2875(35 steps):DDLUURDLLUURDRDDDLURULLURDLDRDLURRD
424/3249(35 steps):DRDLUURDDRRUULLDDLURULDDRRRUULURDDD
425/3938(34 steps):RDLURDDLDRRRUUULLLDDRULDDRUUURRDDD
426/512(35 steps):URRULDLURDLDRDLULDRRUURULDLDLDRURRD
427/3687(35 steps):LUURDDDRRUULDLLUURDRDRDLLURDLLURRDR
428/3518(35 steps):LLDRULDDRDRUUULDDRDLULURRDLUULDDRRD
429/3854(35 steps):LUUURRRDDDDLURULDLULUURRRDDLDLURDDR
430/4047(35 steps):DDRUULULURRDDLULDRUULDRURDDLDRDLURD
431/4085(35 steps):UULDRURRDDLLULURRRDDRULDLLULURRRDRD
432/3604(35 steps):URRULLDDRUULLDRRURRDLLLULDLURRRRRDD
433/3220(34 steps):DRRDLULDDLDRULURDDRRUULURULLDDDDRR
434/4295(35 steps):LULDRURRDRULDLLDRUURDDRUULLLLDRRRDR
435/3176(35 steps):URRULLDLURRDLULLDRDRURULLDLURRDRRDR
436/3726(35 steps):RDLDRRUULDLDDRUURDLLURDDRUUULLDDRDR
437/1711(35 steps):DRURDLURUULLURRDLULDRRULDLURRDDLDDR
438/223(36 steps):RURULDRDLUURDLULLLDRDRRUULLLDRURRRDD
439/134(36 steps):ULULDDRURDLDDRUULDRDLUUURDDLLURURDDD
440/273(36 steps):LDLURRDDRULLDLURULDDRRRURDLULDRRULDR
441/2111(35 steps):RRULLDLURDRDRUULLLDRURDDRULLLURRRDD
442/4782(35 steps):RURRDLLUURDRULDLDRULULDRURDLLURDDRR
443/1562(36 steps):RRDLDLDRUULURRUURDLLLDDDRDLUURDLDRRR
444/4230(35 steps):LURRDRDRRULDLLLLURRULDRRULLDDRRURRD
445/2733(36 steps):RDLDRUULDDDRUURULLDDDDRRULLDRRULLDRR
446/2883(36 steps):DLLDRURDRURULLULLDDRRURDDLULDRRRULDR
447/978(36 steps):ULDDRULURDRDDLLUUURRDDDDLURUULLDDRRD
448/2110(36 steps):RRRULLDDRUURDLULLDDRRRULLULDLURRDDRR
449/2027(35 steps):DRRURDLLDDRRUUULDDDRRUULDDLLUURRDRD
